Skills,Data Engineer,Data Scientist,Data Analyst,Machine Learning Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
SAP,156000,104750,0,64800,79200,68400,64800
MicroStrategy,155500,0,0,0,0,0,0
Looker,147500,100500,0,0,79200,0,139216
Qlik,147500,0,166420,0,0,0,0
Excel,145257,89375,132500,152500,56400,32400,136500
Tableau,134241,98500,132500,0,79200,267000,129000
SAS,119500,0,0,0,0,0,0
Power BI,119500,111175,590000,0,64800,0,80000
DAX,118500,0,0,0,79200,0,64800
Word,0,89118,0,50400,120000,0,0
Google Sheets,0,64800,0,0,0,0,0
Alteryx,0,57500,145000,43200,0,0,64400
Splunk,0,0,0,166000,0,0,0
DataRobot,0,0,0,79200,55940,0,0
PowerPoint,0,0,0,50400,0,267000,140938